"INFRONT OF ACCUSED HOUSE. KALPAD GALLI, INFRONT OF ACCUSED HOUSE. KALPAD GALLI",12,2019
"Mudhol Jamakhandi Road Near New Chiranjeevi, Mudhol Jamakhandi Road Near New Chiranjeevi",2,2017
"Malapur Village Limits, Accused, Malapur Village Limits, Accused",9,2018
"Mudhol Limits Soraganv Cross, Mudhol Limits Soraganv Cross",1,2020
"Kishori Village, On Halagali Road, Kishori Village, On Halagali Road",3,2023
"Mugalakhod Village Limits Nagappa Laxmappa Janawad, Mugalakhod Village Limits Nagappa Laxmappa Janawad",2,2024
"BGK Navanagar Vambe Calony, BGK Navanagar Vambe Calony",3,2023
"BGK Navanagar Sector No 42 Verabdreswar Temple, BGK Navanagar Sector No 42 Verabdreswar Temple",3,2023
"Navanagar sec  48 in public place, Navanagar sec  48 in public place",12,2023
"Navanagar sec 2 In Public place, Navanagar sec 2 In Public place",12,2023
"Navanagar Sector No 20 Near Kuntoji Hospatil, Navanagar Sector No 20 Near Kuntoji Hospatil",1,2024
"Navanagar Sector No 47 Stadum Cross Near, Navanagar Sector No 47 Stadum Cross Near",1,2024
"GADYAL VILLAGE LIMITS IN ACCUSED LAND, GADYAL VILLAGE LIMITS IN ACCUSED LAND",11,2016
"IN HIREPADASALAGI VILLAGE LIMITS NEAR JAMAKHANDI, IN HIREPADASALAGI VILLAGE LIMITS NEAR JAMAKHANDI",4,2017
"IN TODALABAGI VILLAGE LIMITS ACCUSED LAND, IN TODALABAGI VILLAGE LIMITS ACCUSED LAND",9,2017
"IN HIREPADASALAGI VILLAGE LIMITS ACCUSED LAND, IN HIREPADASALAGI VILLAGE LIMITS ACCUSED LAND",10,2017
"IN TUNGAL VILLAGE ACCUSED LAND, IN TUNGAL VILLAGE ACCUSED LAND",10,2017
"In Todalabagi Village Limits Ningappa, In Todalabagi Village Limits Ningappa",2,2019
"In Hirepdasalagi village limits Accused, In Hirepdasalagi village limits Accused",11,2019
"In Hirepadasalagi Village Sadashiv Shivappa, In Hirepadasalagi Village Sadashiv Shivappa",9,2020
"In Hirepadasalagi Village Near Sadashiva Kallolli, In Hirepadasalagi Village Near Sadashiva Kallolli",9,2020
"In Naganur Village Near Accused House, In Naganur Village Near Accused House",9,2020
"In Hirepadasalgi Village Accused Land, In Hirepadasalgi Village Accused Land",3,2021
"In Accused Land Survey No. 73/5/A, In Accused Land Survey No. 73/5/A",6,2021
"Adihudi Vallage Infront of Accused House, Adihudi Vallage Infront of Accused House",5,2022
"Todalabagi Village Accused Form House, Todalabagi Village Accused Form House",7,2023
"HANAGANDI YARAGATTI ROAD NEAR JATTEPPAN POOL, HANAGANDI YARAGATTI ROAD NEAR JATTEPPAN POOL",10,2019
"ON ROAD NEAR ISHWAR KITTUR FARM HOUSE 4 CANAL, ON ROAD NEAR ISHWAR KITTUR FARM HOUSE 4 CANAL",9,2020
"TERDAL LAND R S NO 707/1, TERDAL LAND R S NO 707/1",9,2021
"ACCUSED HOUSE, UPPAR GALLI, RABAKAVI, ACCUSED HOUSE, UPPAR GALLI, RABAKAVI",3,2022
"PUBLIC PLACE NEAR KANTHI BASAVESHWAR TEMPLE, PUBLIC PLACE NEAR KANTHI BASAVESHWAR TEMPLE",7,2022
"TERADAL-PALABHAVI ROAD NEAR TERADAL HANAMAN, TERADAL-PALABHAVI ROAD NEAR TERADAL HANAMAN",10,2023
"NEAR BUSTOP KALUTI NAGAR TERDAL, NEAR BUSTOP KALUTI NAGAR TERDAL",1,2024
"ANDRAL VILLAGE CROSS,, ANDRAL VILLAGE CROSS,",3,2021
"Opp Gudusab timber depo, Opp Gudusab timber depo",12,2023
"IN FRONT OF IMPACT CHURCH, IN FRONT OF IMPACT CHURCH",12,2023
"NAYAKARA GOVINDAPPA HOUSE, ANKALAMMA AREA,, NAYAKARA GOVINDAPPA HOUSE, ANKALAMMA AREA,",1,2018
"INFRONT OF ACCUSED HOUSE, INFRONT OF ACCUSED HOUSE",2,2019
"Infront of Sri Sai Filling Station, Infront of Sri Sai Filling Station",2,2019
"SIRUGUPPA CITY OUTSKIRTS, SIRUGUPPA CITY OUTSKIRTS",2,2019
"Belagallu Road, Infront of annapurneshwari layout, Belagallu Road, Infront of annapurneshwari layout",9,2020
"Infront of KRS funtion hall public pleace, Infront of KRS funtion hall public pleace",12,2020
"Infront Of Rameshwarinagar Main Gate, Infront Of Rameshwarinagar Main Gate",1,2021
"Near 1 st Railway Gate Cowl Bazar, Near 1 st Railway Gate Cowl Bazar",9,2022
"at house, Near Govt Urdu School, at house, Near Govt Urdu School",11,2023
